TimeUS,Subsys,ECode,timestamp
221041354.0,17.0,0.0,1668050393.360375
227258978.0,17.0,0.0,1668050399.5779989
233071263.0,17.0,0.0,1668050405.390284
238384183.0,17.0,0.0,1668050410.703204
246496305.0,17.0,0.0,1668050418.815326
252808016.0,17.0,0.0,1668050425.127037
258420031.0,17.0,0.0,1668050430.739052
275032213.0,16.0,2.0,1668050447.351234
275032224.0,17.0,1.0,1668050447.351245
289732192.0,17.0,0.0,1668050462.051213
289928735.0,24.0,1.0,1668050462.247756
289936237.0,24.0,0.0,1668050462.255258
295943873.0,16.0,2.0,1668050468.262894
295943927.0,17.0,1.0,1668050468.262948
371083942.0,16.0,0.0,1668050543.402963
371083949.0,17.0,0.0,1668050543.40297
375483843.0,11.0,2.0,1668050547.802864
379783883.0,16.0,2.0,1668050552.102904
379783937.0,17.0,1.0,1668050552.102958
382513490.0,10.0,5.0,1668050554.832511
382783624.0,10.0,5.0,1668050555.102645
383088728.0,24.0,1.0,1668050555.407749
383278981.0,24.0,0.0,1668050555.598002
383813449.0,10.0,5.0,1668050556.13247
387283919.0,16.0,0.0,1668050559.60294
387283926.0,17.0,0.0,1668050559.602947
389298589.0,24.0,1.0,1668050561.61761
399383967.0,11.0,0.0,1668050571.702988
521442265.0,24.0,0.0,1668050693.761286
