TimeUS,Id,timestamp
276133350.0,57.0,1668050448.452371
277771570.0,15.0,1668050450.090591
289731730.0,11.0,1668050462.050751
289745160.0,56.0,1668050462.064181
289928722.0,62.0,1668050462.247743
295043705.0,10.0,1668050467.362726
297045154.0,57.0,1668050469.364175
298203351.0,15.0,1668050470.522372
346425854.0,28.0,1668050518.744875
382376583.0,62.0,1668050554.695604
383088669.0,62.0,1668050555.40769
383278968.0,62.0,1668050555.597989
383286272.0,62.0,1668050555.605293
389298576.0,62.0,1668050561.617597
519156211.0,17.0,1668050691.475232
519958653.0,18.0,1668050692.277674
521423784.0,11.0,1668050693.742805
521441288.0,56.0,1668050693.760309
738879893.0,10.0,1668050911.198914
740779505.0,15.0,1668050913.098526
740881299.0,57.0,1668050913.20032
748612057.0,28.0,1668050920.931078
869412409.0,62.0,1668051041.73143
870312601.0,62.0,1668051042.631622
947066899.0,17.0,1668051119.38592
947869568.0,18.0,1668051120.188589
949819734.0,11.0,1668051122.138755
949821298.0,56.0,1668051122.1403189
969331709.0,10.0,1668051141.65073
971333036.0,57.0,1668051143.652057
971471059.0,15.0,1668051143.79008
976053806.0,28.0,1668051148.372827
980824248.0,62.0,1668051153.143269
1171964046.0,17.0,1668051344.283067
1172766455.0,18.0,1668051345.085476
1174311400.0,11.0,1668051346.630421
1174328024.0,56.0,1668051346.647045
