TimeUS,Mode,ModeNum,Rsn,timestamp
221001858.0,2.0,2.0,1.0,1668050393.320879
274132392.0,2.0,2.0,1.0,1668050446.451413
295044161.0,2.0,2.0,1.0,1668050467.363182
395113451.0,5.0,5.0,1.0,1668050567.432472
571219634.0,2.0,2.0,1.0,1668050743.538655
686119516.0,5.0,5.0,1.0,1668050858.438537
688459508.0,2.0,2.0,1.0,1668050860.778529
690849632.0,5.0,5.0,1.0,1668050863.168653
692649511.0,2.0,2.0,1.0,1668050864.968532
738880372.0,2.0,2.0,1.0,1668050911.199393
958771244.0,5.0,5.0,1.0,1668051131.090265
969332233.0,5.0,5.0,1.0,1668051141.651254
1120376838.0,4.0,4.0,2.0,1668051292.695859
1122377076.0,5.0,5.0,2.0,1668051294.696097
